City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
178,Sinnamary,GF,77.86,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
183,Srandakan,ID,72.73,broken clouds,-7.9386,110.2506,Puri Brata
184,Samarai,PG,84.63,overcast clouds,-10.6167,150.6667,Nuli Sapi
189,Sao Jose Da Coroa Grande,BR,78.85,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
191,Faanui,PF,81.16,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
198,Muisne,EC,75.56,overcast clouds,0.6,-80.0333,Quinta Samay
202,Ejura,GH,72.82,few clouds,7.3856,-1.3562,Fire Servece
208,Xucheng,CN,72.3,scattered clouds,20.35,110.1288,Haixing Hotel
210,Kaeo,NZ,73.42,scattered clouds,-35.1,173.7833,Bushido Lodge
211,Bodden Town,KY,78.8,few clouds,19.2833,-81.25,Will T Place
213,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
218,Resistencia,AR,74.1,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
226,Saint-Pierre,RE,78.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
235,Byron Bay,AU,87.91,overcast clouds,-28.65,153.6167,Backpackers Inn
239,Tucuman,AR,71.6,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
240,Rafaela,AR,71.06,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
241,Lamu,KE,77.22,light rain,-2.2717,40.902,Lamu House
242,Fuerte Olimpo,PY,76.86,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
249,Eydhafushi,MV,81.0,broken clouds,5.1033,73.0708,Soneva Fushi
252,Isangel,VU,85.66,scattered clouds,-19.55,169.2667,Tanna Lodge
255,Tual,ID,84.27,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
256,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
257,Ouesso,CG,71.02,scattered clouds,1.6136,16.0517,ABENIE Hotel
259,Vaitape,PF,81.16,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
263,Marawi,PH,77.07,moderate rain,7.9986,124.2928,Derogongan Residence
265,Hervey Bay,AU,89.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
268,Indramayu,ID,83.44,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
270,Souillac,MU,76.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
275,Kavieng,PG,83.91,moderate rain,-2.5744,150.7967,Nusa Island Retreat
282,Nhulunbuy,AU,86.61,light rain,-12.2333,136.7667,East Arnhem Real Estate
283,Namatanai,PG,86.67,light rain,-3.6667,152.4333,Seagulls Inn Namatani
287,Mount Barker,AU,71.22,clear sky,-35.0667,138.8667,A Suite Spot in the Hills
290,Meulaboh,ID,81.84,light rain,4.1363,96.1285,Kost Pria
295,Daru,PG,84.45,scattered clouds,-9.0763,143.2092,Daru Lodge
296,Hobyo,SO,76.8,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
301,Oranjestad,AW,80.91,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
305,Oriximina,BR,74.89,heavy intensity rain,-1.7656,-55.8661,Pousada Tia Amélia
306,Kieta,PG,84.16,light rain,-6.2167,155.6333,Uruna Bay Retreat
309,Hithadhoo,MV,81.64,broken clouds,-0.6,73.0833,Scoop Guest House
312,Ahipara,NZ,73.58,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
313,Dwarka,IN,72.7,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
318,Tabou,CI,79.09,light rain,4.423,-7.3528,hotêl doufoulougou
319,Longhua,CN,73.92,clear sky,23.6137,114.1919,Huadu Hotel
326,Waingapu,ID,87.24,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
327,Cabadiangan,PH,83.17,light rain,9.7531,122.4739,Kipot
331,San Carlos Del Zulia,VE,74.62,overcast clouds,9.0,-71.9135,Hotel El Manantial
333,Lafia,NG,72.81,clear sky,8.4833,8.5167,Low Cost Housing Estate
336,Denpasar,ID,87.46,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
340,Ranong,TH,82.33,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
344,Caucaia,BR,85.06,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
345,Barabai,ID,85.03,light rain,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
347,Hays,US,70.14,broken clouds,30.0502,-98.0336,Sinya on Lone Man Creek
348,Urucara,BR,74.86,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
350,Catuday,PH,78.55,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
351,Maputo,MZ,76.23,scattered clouds,-25.9653,32.5892,Pestana Rovuma
