City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
110,Cascais,PT,38.6979,-9.4215,58.51,76,55,1.01,broken clouds
111,Cabedelo,BR,-6.9811,-34.8339,81.27,81,50,11.23,scattered clouds
112,Manzanillo,CU,20.3433,-77.1167,73.51,83,0,10.33,clear sky
113,Cairns,AU,-16.9167,145.7667,95.07,58,95,3.44,overcast clouds
114,Mehamn,NO,71.0357,27.8492,20.57,78,7,14.27,clear sky
115,Atambua,ID,-9.1061,124.8925,85.41,63,34,3.78,scattered clouds
116,Tori Fatehpur,IN,25.45,79.1333,61.34,48,0,3.04,clear sky
117,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,3.44,few clouds
118,Codrington,AU,-38.2667,141.9667,61.02,57,89,15.08,overcast clouds
119,Hamilton,US,39.1834,-84.5333,56.25,60,90,9.22,overcast clouds
120,Quatre Cocos,MU,-20.2078,57.7625,75.09,66,45,10.18,scattered clouds
121,Mar Del Plata,AR,-38.0023,-57.5575,68.09,89,0,3.0,clear sky
122,Upernavik,GL,72.7868,-56.1549,0.1,99,92,9.19,overcast clouds
123,Lebyazhye,RU,55.2689,66.4947,9.88,75,44,10.89,scattered clouds
124,Nago,JP,26.5881,127.9761,75.27,49,4,10.83,clear sky
125,Qaqortoq,GL,60.7167,-46.0333,27.1,91,55,7.63,broken clouds
126,Arraial Do Cabo,BR,-22.9661,-42.0278,71.08,79,4,9.62,clear sky
127,Campbell River,CA,50.0163,-125.2446,35.26,97,75,2.3,mist
128,Bairiki,KI,1.3292,172.9752,87.8,66,20,14.97,few clouds
129,Coreau,BR,-3.5333,-40.6567,80.87,62,99,3.09,overcast clouds
130,Sao Filipe,CV,14.8961,-24.4956,74.16,68,82,11.88,broken clouds
131,Honningsvag,NO,70.9821,25.9704,26.42,79,14,24.52,few clouds
132,Zaozerne,UA,45.1582,33.2787,50.95,80,66,14.05,broken clouds
133,Makakilo City,US,21.3469,-158.0858,77.32,63,75,13.8,broken clouds
134,Wanaka,NZ,-44.7,169.15,63.75,68,100,7.52,overcast clouds
135,Geraldton,AU,-28.7667,114.6,75.61,57,90,14.97,overcast clouds
136,Cabo San Lucas,MX,22.8909,-109.9124,75.51,68,1,23.02,clear sky
137,La Ronge,CA,55.1001,-105.2842,19.65,86,90,5.75,light snow
138,Hualmay,PE,-11.0964,-77.6139,66.85,85,96,7.47,overcast clouds
139,Trairi,BR,-3.2778,-39.2689,80.94,77,93,12.15,overcast clouds
140,Socorro,US,31.6546,-106.3033,66.06,29,40,13.8,scattered clouds
141,Buchanan,LR,5.8808,-10.0467,76.96,87,8,4.88,clear sky
142,Honiara,SB,-9.4333,159.95,86.7,72,79,4.38,broken clouds
143,Salinopolis,BR,-0.6136,-47.3561,79.68,85,86,8.32,overcast clouds
144,Carnarvon,AU,-24.8667,113.6333,78.87,65,0,17.27,clear sky
145,Monrovia,LR,6.3005,-10.7969,76.77,83,7,2.51,light rain
146,Eugene,US,44.0521,-123.0867,41.25,93,96,8.01,overcast clouds
147,Kuntaur,GM,13.6667,-14.8833,73.83,22,28,1.57,scattered clouds
148,Isiro,CD,2.7739,27.616,65.59,85,12,0.58,few clouds
149,Awbari,LY,26.5921,12.7805,46.99,30,71,8.05,broken clouds
150,Mahebourg,MU,-20.4081,57.7,75.25,94,40,5.75,scattered clouds
151,Gazanjyk,TM,39.2446,55.5154,52.59,46,97,5.91,overcast clouds
152,Gioia Tauro,IT,38.424,15.899,49.05,69,95,19.33,light rain
153,Dunedin,NZ,-45.8742,170.5036,60.8,60,70,1.99,broken clouds
154,Castro,BR,-24.7911,-50.0119,52.65,96,0,5.12,clear sky
155,Kondoros,HU,46.7667,20.8,36.99,94,100,7.52,overcast clouds
156,Enshi,CN,30.3,109.4833,52.25,89,100,0.25,overcast clouds
157,Buala,SB,-8.145,159.5921,84.42,78,95,7.18,light rain
158,Sal Rei,CV,16.1833,-22.9167,70.36,67,98,21.36,overcast clouds
159,Bambous Virieux,MU,-20.3428,57.7575,75.22,94,40,5.75,scattered clouds
160,Jati,PK,24.3539,68.2671,62.53,28,58,10.29,broken clouds
161,Lagos,NG,6.5833,3.75,80.92,91,0,1.41,clear sky
162,Port-Gentil,GA,-0.7193,8.7815,80.89,80,100,8.81,light rain
163,Airai,TL,-8.9266,125.4092,73.56,62,74,1.48,broken clouds
164,San Quintin,MX,30.4833,-115.95,59.56,85,93,7.27,overcast clouds
165,Olafsvik,IS,64.8945,-23.7142,36.48,78,100,14.74,overcast clouds
166,Payo,ID,-3.7508,103.6372,75.38,96,98,3.15,overcast clouds
167,Yantal,RU,56.8471,105.2542,8.85,89,100,12.59,light snow
168,Whyalla,AU,-33.0333,137.5833,66.09,48,6,14.97,clear sky
169,Ayan,RU,56.45,138.1667,17.24,64,64,10.65,broken clouds
170,Hofn,IS,64.2539,-15.2082,37.63,73,89,19.39,overcast clouds
171,Erzin,TR,36.9559,36.2,48.72,70,3,5.03,clear sky
172,Pa Sang,TH,18.5262,98.9394,77.79,62,1,1.19,clear sky
173,Grindavik,IS,63.8424,-22.4338,36.07,93,75,6.91,broken clouds
174,Mount Gambier,AU,-37.8333,140.7667,64.31,52,90,14.97,overcast clouds
175,Tautira,PF,-17.7333,-149.15,84.22,64,15,10.02,few clouds
176,Naze,JP,28.3667,129.4833,68.92,47,25,3.24,scattered clouds
177,Dalianwan,CN,39.0286,121.695,46.44,76,2,8.95,mist
178,Sinnamary,GF,5.3833,-52.95,77.86,91,97,7.61,light rain
179,Amapa,BR,1.0,-52.0,73.29,99,100,1.3,overcast clouds
180,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.67,86,92,6.89,overcast clouds
181,Calatayud,ES,41.3535,-1.6432,54.18,75,99,27.13,overcast clouds
182,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,75,33,1.66,scattered clouds
183,Srandakan,ID,-7.9386,110.2506,72.73,68,55,5.44,broken clouds
184,Samarai,PG,-10.6167,150.6667,84.63,74,100,19.26,overcast clouds
185,Fortuna,US,40.5982,-124.1573,46.98,71,75,0.0,broken clouds
186,Kosh-Agach,RU,50.0,88.6667,-5.64,96,99,2.04,overcast clouds
187,Dauriya,RU,49.9333,116.8667,13.66,76,100,4.14,overcast clouds
188,Wajima,JP,37.4,136.9,56.08,82,75,3.44,broken clouds
189,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.85,83,73,10.27,broken clouds
190,Talaya,RU,61.3833,152.75,-36.31,91,38,0.36,scattered clouds
191,Faanui,PF,-16.4833,-151.75,81.16,70,9,12.26,clear sky
192,Lagoa,PT,39.05,-27.9833,62.58,61,100,9.22,overcast clouds
193,Saskylakh,RU,71.9167,114.0833,-13.04,98,100,6.15,overcast clouds
194,Juneau,US,58.3019,-134.4197,35.6,95,90,6.91,light rain
195,Karasjok,NO,69.4719,25.5112,10.51,100,100,1.05,overcast clouds
196,Lima,PE,-12.0432,-77.0282,64.65,82,0,9.22,clear sky
197,Chuy,UY,-33.6971,-53.4616,61.14,79,58,7.31,broken clouds
198,Muisne,EC,0.6,-80.0333,75.56,86,100,6.15,overcast clouds
199,Colesberg,ZA,-30.72,25.0972,62.62,66,1,8.61,clear sky
200,Hovd,MN,48.0056,91.6419,10.17,68,11,4.5,few clouds
201,Youkounkoun,GN,12.5333,-13.1333,71.24,33,2,3.76,clear sky
202,Ejura,GH,7.3856,-1.3562,72.82,44,21,0.98,few clouds
203,Lebu,CL,-37.6167,-73.65,56.16,89,0,15.46,clear sky
204,Navodari,RO,44.3167,28.6,49.1,93,0,11.5,clear sky
205,Ust-Tsilma,RU,65.441,52.1498,4.51,97,92,4.61,overcast clouds
206,Ak-Dovurak,RU,51.1833,90.6,-2.27,81,97,1.39,overcast clouds
207,Tamboril,DO,19.4854,-70.611,69.42,94,20,0.0,few clouds
208,Xucheng,CN,20.35,110.1288,72.3,59,38,15.68,scattered clouds
209,Anadyr,RU,64.75,177.4833,-4.52,76,75,11.18,light snow
210,Kaeo,NZ,-35.1,173.7833,73.42,56,41,7.4,scattered clouds
211,Bodden Town,KY,19.2833,-81.25,78.8,89,20,8.05,few clouds
