City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Aras,ES,2021-12-03 14:21:06,42.5617,-2.356,48.61,71,75,14.97
209,Kirakira,SB,2021-12-03 14:21:06,-10.4544,161.9205,79.07,84,100,3.13
210,Mandal,IN,2021-12-03 14:21:07,25.45,74.5667,65.57,45,0,5.79
211,Port-Gentil,GA,2021-12-03 14:21:08,-0.7193,8.7815,80.02,79,99,9.75
212,Cidreira,BR,2021-12-03 14:21:09,-30.1811,-50.2056,71.24,66,59,15.39
213,Zhangjiakou,CN,2021-12-03 14:21:09,40.81,114.8794,29.62,49,0,4.03
214,Khash,IR,2021-12-03 14:21:10,28.2211,61.2158,57.99,36,0,13.62
215,Morlaix,FR,2021-12-03 14:21:10,48.5833,-4.0,55.72,97,90,18.41
216,Belyy Yar,RU,2021-12-03 14:21:11,53.6039,91.3903,11.86,64,100,0.0
217,Moose Factory,CA,2021-12-03 14:21:11,51.2585,-80.6094,-2.2,71,1,12.66
218,Venice,US,2021-12-03 14:18:32,27.0998,-82.4543,62.98,99,90,6.91
219,Amuntai,ID,2021-12-03 14:21:12,-2.4177,115.2494,75.76,97,81,1.07
220,Mumford,GH,2021-12-03 14:21:12,5.2618,-0.759,84.02,71,74,9.64
221,Puerto Carreno,CO,2021-12-03 14:21:13,6.189,-67.4859,84.61,57,96,7.02
222,Gillette,US,2021-12-03 14:21:13,44.2911,-105.5022,37.94,82,100,0.89
223,Vila Velha,BR,2021-12-03 14:19:10,-20.3297,-40.2925,80.55,74,40,3.0
224,Garowe,SO,2021-12-03 14:21:14,8.4054,48.4845,86.31,21,0,3.56
225,Boden,SE,2021-12-03 14:21:15,65.8252,21.6886,15.8,97,100,4.32
226,Kiruna,SE,2021-12-03 14:21:15,67.8557,20.2251,13.12,100,90,3.44
227,Shakawe,BW,2021-12-03 14:21:16,-18.3667,21.85,91.15,27,90,3.53
228,Den Helder,NL,2021-12-03 14:21:16,52.9599,4.7593,44.58,98,75,28.01
229,Richards Bay,ZA,2021-12-03 14:21:17,-28.783,32.0377,72.82,71,98,8.7
230,Leeton,AU,2021-12-03 14:21:17,-34.5667,146.4,66.88,42,71,9.8
231,Southbridge,US,2021-12-03 14:21:17,42.0751,-72.0334,39.96,60,6,1.99
232,Kalmunai,LK,2021-12-03 14:21:18,7.4167,81.8167,79.74,78,61,4.9
233,Fuerte,PH,2021-12-03 14:21:18,17.5381,120.3644,75.72,62,96,14.76
234,Catuday,PH,2021-12-03 14:21:19,16.2923,119.8062,78.28,65,46,10.92
235,Uzhur,RU,2021-12-03 14:21:19,55.3036,89.8339,36.7,76,100,18.37
